EmployeeID,Effective Date,End Date,Compensation,Review,Engagement Score
1,2021-01-01,,20000.0,,
1,,,,,
1,,2100-01-01,,,
1,,,,,
1,,2100-01-01,,,
1,,,,,
1,,2100-01-01,,,
2,2021-01-01,2022-01-01,20000.0,,
2,2022-01-01,2023-01-01,10000.0,,
2,2023-01-01,2100-01-01,20000.0,,
2,2021-06-01,2022-06-01,,9.0,
2,2022-06-01,2100-01-01,,9.5,
2,2021-03-01,2022-03-01,,,4.0
2,2022-03-01,2100-01-01,,,5.0
3,2021-01-01,2022-01-01,20000.0,,
3,2022-01-01,2023-01-01,10000.0,,
3,2023-01-01,2023-12-31,20000.0,,
3,2021-06-01,2022-06-01,,9.0,
3,2022-06-01,2023-12-31,,9.5,
3,2021-03-01,2022-03-01,,,4.0
3,2022-03-01,2023-12-31,,,5.0
